path,decision,hits,method,note,ext
01-dcat-ap\3.0.0-hvd\example-bees_wasps_dataset.jsonld,keep,Dataset=2,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-data_service_openapi_sla.jsonld,keep,DataService=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-data_service_openapi_sla.ttl,keep,DataService=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-data_service_service_desk.jsonld,keep,DataService=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-data_service_service_desk.ttl,keep,DataService=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-data_service_terms_sla.jsonld,keep,DataService=1;Dataset=2,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-data_service_terms_sla.ttl,keep,DataService=1;Dataset=2,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_catalogue.jsonld,keep,DataService=1;Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_catalogue.ttl,keep,DataService=1;Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_hvd.jsonld,keep,DataService=1;Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_hvd.ttl,keep,DataService=1;Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset.jsonld,keep,Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset.ttl,keep,Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_distributions.jsonld,keep,Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_distributions.ttl,keep,Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_identifiers.jsonld,keep,Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_identifiers.ttl,keep,Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_licenses.jsonld,keep,DataService=1;Dataset=2,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_licenses.ttl,keep,DataService=1;Dataset=2,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset_data_service.jsonld,keep,DataService=1;Dataset=2,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset_data_service.ttl,keep,DataService=1;Dataset=2,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-ms_dataset_hvd_profile.jsonld,keep,Dataset=1,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-ms_dataset_hvd_profile.ttl,keep,Dataset=1,rdf,,ttl
01-dcat-ap\3.0.0-hvd\example-restrict_licenses.jsonld,keep,Dataset=2,rdf,,jsonld
01-dcat-ap\3.0.0-hvd\example-restrict_licenses.ttl,keep,Dataset=2,rdf,,ttl
01-dcat-ap\3.0.1-core\example-bee-population-2022-2023.jsonld,keep,Dataset=2,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-2022-2023.ttl,keep,Dataset=2,rdf,,ttl
01-dcat-ap\3.0.1-core\example-bee-population-dataset-frequency.jsonld,keep,Dataset=1,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-dataset-frequency.ttl,keep,Dataset=1,rdf,,ttl
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-api.jsonld,keep,Dataset=1,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-combined.jsonld,keep,DataService=1;Dataset=4;DatasetSeries=1,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-frequency.jsonld,keep,Dataset=2;DatasetSeries=1,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-frequency.ttl,keep,Dataset=2;DatasetSeries=1,rdf,,ttl
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-gea-nha.jsonld,keep,Dataset=3;DatasetSeries=1,rdf+local-context,remote @context substituted locally,jsonld
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-gea-nha.ttl,keep,Dataset=3;DatasetSeries=1,rdf,,ttl
