path,profile,format,bytes,status,triples
01-dcat-ap\3.0.0-hvd\example-bees_wasps_dataset.jsonld,DCAT-AP HVD 3.0.0,jsonld,1511,parsed,10
01-dcat-ap\3.0.0-hvd\example-bees_wasps_dataset.ttl,DCAT-AP HVD 3.0.0,ttl,976,fragment,
01-dcat-ap\3.0.0-hvd\example-data_service_openapi_sla.jsonld,DCAT-AP HVD 3.0.0,jsonld,1181,parsed,10
01-dcat-ap\3.0.0-hvd\example-data_service_openapi_sla.ttl,DCAT-AP HVD 3.0.0,ttl,825,parsed,10
01-dcat-ap\3.0.0-hvd\example-data_service_service_desk.jsonld,DCAT-AP HVD 3.0.0,jsonld,1655,parsed,13
01-dcat-ap\3.0.0-hvd\example-data_service_service_desk.ttl,DCAT-AP HVD 3.0.0,ttl,1033,parsed,13
01-dcat-ap\3.0.0-hvd\example-data_service_terms_sla.jsonld,DCAT-AP HVD 3.0.0,jsonld,3114,parsed,28
01-dcat-ap\3.0.0-hvd\example-data_service_terms_sla.ttl,DCAT-AP HVD 3.0.0,ttl,1776,parsed,27
01-dcat-ap\3.0.0-hvd\example-map_licenses.jsonld,DCAT-AP HVD 3.0.0,jsonld,678,parsed,4
01-dcat-ap\3.0.0-hvd\example-map_licenses.ttl,DCAT-AP HVD 3.0.0,ttl,428,parsed,4
01-dcat-ap\3.0.0-hvd\example-ms_catalogue.jsonld,DCAT-AP HVD 3.0.0,jsonld,5255,parsed,48
01-dcat-ap\3.0.0-hvd\example-ms_catalogue.ttl,DCAT-AP HVD 3.0.0,ttl,3273,parsed,48
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_hvd.jsonld,DCAT-AP HVD 3.0.0,jsonld,5084,parsed,46
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_hvd.ttl,DCAT-AP HVD 3.0.0,ttl,3227,parsed,46
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_simple.jsonld,DCAT-AP HVD 3.0.0,jsonld,640,parsed,5
01-dcat-ap\3.0.0-hvd\example-ms_catalogue_simple.ttl,DCAT-AP HVD 3.0.0,ttl,397,parsed,5
01-dcat-ap\3.0.0-hvd\example-ms_dataset.jsonld,DCAT-AP HVD 3.0.0,jsonld,918,parsed,7
01-dcat-ap\3.0.0-hvd\example-ms_dataset.ttl,DCAT-AP HVD 3.0.0,ttl,657,parsed,7
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_distributions.jsonld,DCAT-AP HVD 3.0.0,jsonld,2931,parsed,25
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_distributions.ttl,DCAT-AP HVD 3.0.0,ttl,1837,parsed,25
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_identifiers.jsonld,DCAT-AP HVD 3.0.0,jsonld,1628,parsed,13
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_identifiers.ttl,DCAT-AP HVD 3.0.0,ttl,1016,parsed,13
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_licenses.jsonld,DCAT-AP HVD 3.0.0,jsonld,2552,parsed,23
01-dcat-ap\3.0.0-hvd\example-ms_dataset_2_licenses.ttl,DCAT-AP HVD 3.0.0,ttl,1455,parsed,23
01-dcat-ap\3.0.0-hvd\example-ms_dataset_data_service.jsonld,DCAT-AP HVD 3.0.0,jsonld,2204,parsed,18
01-dcat-ap\3.0.0-hvd\example-ms_dataset_data_service.ttl,DCAT-AP HVD 3.0.0,ttl,1274,parsed,18
01-dcat-ap\3.0.0-hvd\example-ms_dataset_hvd_profile.jsonld,DCAT-AP HVD 3.0.0,jsonld,3280,parsed,28
01-dcat-ap\3.0.0-hvd\example-ms_dataset_hvd_profile.ttl,DCAT-AP HVD 3.0.0,ttl,2084,parsed,28
01-dcat-ap\3.0.0-hvd\example-restrict_licenses.jsonld,DCAT-AP HVD 3.0.0,jsonld,1642,parsed,14
01-dcat-ap\3.0.0-hvd\example-restrict_licenses.ttl,DCAT-AP HVD 3.0.0,ttl,937,parsed,14
01-dcat-ap\3.0.1-core\context.jsonld,DCAT-AP 3.0.1,jsonld,5370,parsed,0
01-dcat-ap\3.0.1-core\example-bee-population-2022-2023.jsonld,DCAT-AP 3.0.1,jsonld,805,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-2022-2023.ttl,DCAT-AP 3.0.1,ttl,659,parsed,8
01-dcat-ap\3.0.1-core\example-bee-population-dataset-frequency.jsonld,DCAT-AP 3.0.1,jsonld,219,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-frequency.ttl,DCAT-AP 3.0.1,ttl,382,parsed,2
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-api.jsonld,DCAT-AP 3.0.1,jsonld,994,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-api.ttl,DCAT-AP 3.0.1,ttl,981,fragment,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-combined.jsonld,DCAT-AP 3.0.1,jsonld,2949,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-combined.ttl,DCAT-AP 3.0.1,ttl,2418,fragment,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-frequency.jsonld,DCAT-AP 3.0.1,jsonld,836,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-frequency.ttl,DCAT-AP 3.0.1,ttl,841,parsed,11
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-gea-nha.jsonld,DCAT-AP 3.0.1,jsonld,1656,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-gea-nha.ttl,DCAT-AP 3.0.1,ttl,1377,parsed,23
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-issued.jsonld,DCAT-AP 3.0.1,jsonld,1384,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-issued.ttl,DCAT-AP 3.0.1,ttl,1192,parsed,19
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-life-count.jsonld,DCAT-AP 3.0.1,jsonld,989,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-life-count.ttl,DCAT-AP 3.0.1,ttl,961,parsed,11
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-modified.jsonld,DCAT-AP 3.0.1,jsonld,1817,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-modified.ttl,DCAT-AP 3.0.1,ttl,1532,parsed,27
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-ordered.jsonld,DCAT-AP 3.0.1,jsonld,709,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-ordered.ttl,DCAT-AP 3.0.1,ttl,615,parsed,8
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-spatial-thessaloniki-athens.jsonld,DCAT-AP 3.0.1,jsonld,1229,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-spatial-thessaloniki-athens.ttl,DCAT-AP 3.0.1,ttl,987,parsed,15
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-spatial-thessaloniki.jsonld,DCAT-AP 3.0.1,jsonld,716,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series-spatial-thessaloniki.ttl,DCAT-AP 3.0.1,ttl,649,parsed,8
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series.jsonld,DCAT-AP 3.0.1,jsonld,613,parse-error,
01-dcat-ap\3.0.1-core\example-bee-population-dataset-series.ttl,DCAT-AP 3.0.1,ttl,531,parsed,6
