subject_id	subject_label	predicate_id	object_id	object_label	object_json_path	mapping_justification	comment
schema:name	name	skos:exactMatch	schema:name	name	$.name	semapv:ManualMappingCuration	schema: prefix stripped; SOSO serializes bare via @vocab http://schema.org/
schema:description	description	skos:exactMatch	schema:description	description	$.description	semapv:ManualMappingCuration	
schema:url	url	skos:exactMatch	schema:url	url	$.url	semapv:ManualMappingCuration	landing page
schema:identifier	identifier	skos:exactMatch	schema:identifier	identifier	$.identifier	semapv:ManualMappingCuration	PropertyValue structure preserved
schema:license	license	skos:exactMatch	schema:license	license	$.license	semapv:ManualMappingCuration	
schema:creator	creator	skos:exactMatch	schema:creator	creator	$.creator	semapv:ManualMappingCuration	JSON-LD @list author order preserved
schema:keywords	keywords	skos:exactMatch	schema:keywords	keywords	$.keywords	semapv:ManualMappingCuration	
schema:datePublished	datePublished	skos:exactMatch	schema:datePublished	datePublished	$.datePublished	semapv:ManualMappingCuration	
schema:dateModified	dateModified	skos:exactMatch	schema:dateModified	dateModified	$.dateModified	semapv:ManualMappingCuration	CDIF-required, SOSO-optional; retained
schema:variableMeasured	variableMeasured	skos:exactMatch	schema:variableMeasured	variableMeasured	$.variableMeasured[*]	semapv:ManualMappingCuration	PropertyValue items retained
schema:spatialCoverage	spatialCoverage	skos:exactMatch	schema:spatialCoverage	spatialCoverage	$.spatialCoverage[*]	semapv:ManualMappingCuration	geosparql:asWKT geometry retained (SOSO-endorsed optional)
schema:temporalCoverage	temporalCoverage	skos:exactMatch	schema:temporalCoverage	temporalCoverage	$.temporalCoverage	semapv:ManualMappingCuration	
schema:distribution	distribution	skos:exactMatch	schema:distribution	distribution	$.distribution[*]	semapv:ManualMappingCuration	DataDownload / WebAPI retained
schema:conditionsOfAccess	conditionsOfAccess	skos:exactMatch	schema:conditionsOfAccess	conditionsOfAccess	$.conditionsOfAccess	semapv:ManualMappingCuration	CDIF-only; passed through open-world (not a SOSO term)
schema:relatedLink	relatedLink	skos:exactMatch	schema:relatedLink	relatedLink	$.relatedLink	semapv:ManualMappingCuration	CDIF-only; passed through open-world
schema:measurementTechnique	measurementTechnique	skos:exactMatch	schema:measurementTechnique	measurementTechnique	$.measurementTechnique	semapv:ManualMappingCuration	CDIF-only; passed through open-world
dqv:hasQualityMeasurement	hasQualityMeasurement	skos:exactMatch	dqv:hasQualityMeasurement	hasQualityMeasurement	$.dqv:hasQualityMeasurement[*]	semapv:ManualMappingCuration	CDIF-only; passed through open-world
