subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
schema:name	name	skos:exactMatch	sc:name	name	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:description	description	skos:exactMatch	sc:description	description	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:url	url	skos:exactMatch	sc:url	url	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:identifier	identifier	skos:exactMatch	sc:identifier	identifier	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:license	license	skos:exactMatch	sc:license	license	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:creator	creator	skos:exactMatch	sc:creator	creator	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:publisher	publisher	skos:exactMatch	sc:publisher	publisher	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:keywords	keywords	skos:exactMatch	sc:keywords	keywords	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:version	version	skos:exactMatch	sc:version	version	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:datePublished	datePublished	skos:exactMatch	sc:datePublished	datePublished	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:dateModified	dateModified	skos:exactMatch	sc:dateModified	dateModified	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:dateCreated	dateCreated	skos:exactMatch	sc:dateCreated	dateCreated	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:distribution	distribution	skos:exactMatch	sc:distribution	distribution	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:contentUrl	contentUrl	skos:exactMatch	sc:contentUrl	contentUrl	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:contentSize	contentSize	skos:exactMatch	sc:contentSize	contentSize	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:encodingFormat	encodingFormat	skos:exactMatch	sc:encodingFormat	encodingFormat	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:sha256	sha256	skos:exactMatch	sc:sha256	sha256	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:containedIn	containedIn	skos:exactMatch	sc:containedIn	containedIn	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:inLanguage	inLanguage	skos:exactMatch	sc:inLanguage	inLanguage	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:funding	funding	skos:exactMatch	sc:funding	funding	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:sameAs	sameAs	skos:exactMatch	sc:sameAs	sameAs	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:citation	citation	skos:exactMatch	sc:citation	citation	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:alternateName	alternateName	skos:exactMatch	sc:alternateName	alternateName	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:isAccessibleForFree	isAccessibleForFree	skos:exactMatch	sc:isAccessibleForFree	isAccessibleForFree	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:includedInDataCatalog	includedInDataCatalog	skos:exactMatch	sc:includedInDataCatalog	includedInDataCatalog	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:isBasedOn	isBasedOn	skos:exactMatch	sc:isBasedOn	isBasedOn	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:image	image	skos:exactMatch	sc:image	image	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
schema:thumbnailUrl	thumbnailUrl	skos:exactMatch	sc:thumbnailUrl	thumbnailUrl	semapv:ManualMappingCuration	Some Croissant records (those derived from CDIF) use the http spelling; normalised onto the https one the mapping table keys on.
