subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
dcat:title	title	skos:exactMatch	dcterms:title	title	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no title.
dcat:description	description	skos:exactMatch	dcterms:description	description	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no description.
dcat:publisher	publisher	skos:exactMatch	dcterms:publisher	publisher	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no publisher.
dcat:identifier	identifier	skos:exactMatch	dcterms:identifier	identifier	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no identifier.
dcat:references	references	skos:exactMatch	dcterms:references	references	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no references.
dcat:isPartOf	isPartOf	skos:exactMatch	dcterms:isPartOf	isPartOf	semapv:ManualMappingCuration	Coined by the POD v1.1 context's @vocab (dcat#); dcat: defines no isPartOf.
dcat:systemOfRecords	systemOfRecords	skos:exactMatch	pod:systemOfRecords	systemOfRecords	semapv:ManualMappingCuration	POD field; the POD context does not list it, so @vocab put it in dcat#.
dcterms:#conformsTo	conformsTo	skos:exactMatch	dcterms:conformsTo	conformsTo	semapv:ManualMappingCuration	Stray '#': a source context declared dc as 'http://purl.org/dc/terms/#'.
dcterms:#license	license	skos:exactMatch	dcterms:license	license	semapv:ManualMappingCuration	Stray '#': a source context declared dc as 'http://purl.org/dc/terms/#'.
dcterms:language:	language	skos:exactMatch	dcterms:language	language	semapv:ManualMappingCuration	Trailing ':' in the source context's term IRI.
powder:describedby	describedby	skos:exactMatch	wdrs:describedby	describedby	semapv:ManualMappingCuration	The official POD v1.1 context maps describedBy to powder# instead of powder-s#. powder-s# is the namespace that defines describedby; powder# is an XML Schema.
dcat-us-alt:restrictionStatus	restrictionStatus	skos:exactMatch	dcat-us:restrictionStatus	restrictionStatus	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:accessRestriction	accessRestriction	skos:exactMatch	dcat-us:accessRestriction	accessRestriction	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:useRestriction	useRestriction	skos:exactMatch	dcat-us:useRestriction	useRestriction	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:geographicBoundingBox	geographicBoundingBox	skos:exactMatch	dcat-us:geographicBoundingBox	geographicBoundingBox	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:eastBoundingLongitude	eastBoundingLongitude	skos:exactMatch	dcat-us:eastBoundingLongitude	eastBoundingLongitude	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:westBoundingLongitude	westBoundingLongitude	skos:exactMatch	dcat-us:westBoundingLongitude	westBoundingLongitude	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:northBoundingLatitude	northBoundingLatitude	skos:exactMatch	dcat-us:northBoundingLatitude	northBoundingLatitude	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:southBoundingLatitude	southBoundingLatitude	skos:exactMatch	dcat-us:southBoundingLatitude	southBoundingLatitude	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:metadataDistribution	metadataDistribution	skos:exactMatch	dcat-us:metadataDistribution	metadataDistribution	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
dcat-us-alt:liabilityStatement	liabilityStatement	skos:exactMatch	dcat-us:liabilityStatement	liabilityStatement	semapv:ManualMappingCuration	DCAT-US host normalization; see the mapping set comment.
schema:contentURL	contentURL	skos:exactMatch	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	Case typo: schema.org defines contentUrl, not contentURL.
dcat:Distribution	Distribution	skos:exactMatch	dcat:distribution	distribution	semapv:ManualMappingCuration	A class IRI used as a property key; dcat:distribution is the property.
owl:versionInfo	versionInfo	skos:exactMatch	dcat:version	version	semapv:ManualMappingCuration	OWL versioning used in place of dcat:version.
vcard:hasName	hasName	skos:exactMatch	vcard:fn	fn	semapv:ManualMappingCuration	Not a vCard term; vcard:fn is the formatted name.
