# mapping_set_id: https://w3id.org/cdif/mappings/ddi-to-cdif
# mapping_set_title: DDI Codebook 2.5 to CDIF
# mapping_set_description: Property correspondences applied by ddi_to_cdif.py (DDI Codebook 2.5 XML -> CDIF DataDescription).
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://cross-domain-interoperability-framework.github.io/
# mapping_tool: converters/DDI/ddi_to_cdif.py
# mapping_date: 2026-08-24
# subject_source: ddi:codebook:2_5
# object_source: https://w3id.org/cdif/data_description/1.1
# mapping_justification: semapv:ManualMappingCuration
# curie_map:
#   cdi: http://ddialliance.org/Specification/DDI-CDI/1.0/RDF/
#   cdif: https://w3id.org/cdif/
#   cdifq: http://crossdomaininteroperability.org/cdifq/
#   ddi: https://ddialliance.org/Specification/DDI-Codebook/2.5/element/
#   schema: http://schema.org/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# comment: |
#   Structural transforms the converter performs that are not term-to-term
#   mappings (so they have no TSV row):
#   - ddi: subject ids are a minted CURIE convention: XPath-style DDI Codebook element paths (element namespace ddi:codebook:2_5). @name / @intrvl denote XML attributes.
#   - A CDIF catalog record is ADDED; dcterms:conformsTo is derived from content by detect_conformance (the cdi:InstanceVariable variables yield data_description).
#   - --fetch-headers / --fetch-file-meta pull column headers and file size/checksum from the Dataverse API to build physical mappings and spdx:checksum.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
ddi:stdyDscr.citation.titlStmt.titl	titl	skos:exactMatch	schema:name	name	semapv:ManualMappingCuration	
ddi:stdyDscr.stdyInfo.abstract	abstract	skos:exactMatch	schema:description	description	semapv:ManualMappingCuration	
ddi:stdyDscr.citation.rspStmt.AuthEnty	AuthEnty	skos:closeMatch	schema:creator	creator	semapv:ManualMappingCuration	-> schema:Person in @list
ddi:stdyDscr.citation.distStmt.distrbtr	distrbtr	skos:closeMatch	schema:publisher	publisher	semapv:ManualMappingCuration	-> schema:Organization
ddi:stdyDscr.stdyInfo.subject.keyword	keyword	skos:exactMatch	schema:keywords	keywords	semapv:ManualMappingCuration	
ddi:stdyDscr.stdyInfo.subject.topcClas	topcClas	skos:exactMatch	schema:keywords	keywords	semapv:ManualMappingCuration	
ddi:stdyDscr.dataAccs.useStmt.restrctn	restrctn	skos:closeMatch	schema:conditionsOfAccess	conditionsOfAccess	semapv:ManualMappingCuration	
ddi:stdyDscr.citation.distStmt.distDate	distDate	skos:exactMatch	schema:datePublished	datePublished	semapv:ManualMappingCuration	
ddi:stdyDscr.citation.prodStmt.depDate	depDate	skos:exactMatch	schema:dateModified	dateModified	semapv:ManualMappingCuration	fallback distDate
ddi:stdyDscr.stdyInfo.sumDscr.nation	nation	skos:closeMatch	schema:spatialCoverage	spatialCoverage	semapv:ManualMappingCuration	-> schema:Place by name
ddi:stdyDscr.stdyInfo.sumDscr.timePrd	timePrd	skos:closeMatch	schema:temporalCoverage	temporalCoverage	semapv:ManualMappingCuration	start/end -> ISO 8601 interval
ddi:stdyDscr.method.dataColl.collMode	collMode	skos:exactMatch	schema:measurementTechnique	measurementTechnique	semapv:ManualMappingCuration	
ddi:dataDscr.var	var	skos:closeMatch	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	dual-typed schema:PropertyValue + cdi:InstanceVariable
ddi:dataDscr.var@name	var/@name	skos:exactMatch	schema:name	name	semapv:ManualMappingCuration	on the variable
ddi:dataDscr.var.labl	labl	skos:exactMatch	schema:description	description	semapv:ManualMappingCuration	on the variable
ddi:dataDscr.var.varFormat	varFormat	skos:closeMatch	cdi:intendedDataType	intendedDataType	semapv:ManualMappingCuration	-> xsd type
ddi:dataDscr.var.varFormat@intrvl	varFormat/@intrvl	skos:closeMatch	cdi:role	role	semapv:ManualMappingCuration	contin/discrete -> Measure/Attribute component
ddi:dataDscr.var.sumStat.min	sumStat[min]	skos:exactMatch	schema:minValue	minValue	semapv:ManualMappingCuration	
ddi:dataDscr.var.sumStat.max	sumStat[max]	skos:exactMatch	schema:maxValue	maxValue	semapv:ManualMappingCuration	
ddi:fileDscr.fileTxt.fileName	fileName	skos:closeMatch	schema:DataDownload	DataDownload	semapv:ManualMappingCuration	-> cdi:TabularTextDataSet distribution + schema:name
ddi:fileDscr.fileTxt.dimensns.caseQnty	caseQnty	skos:closeMatch	cdifq:nRows	nRows	semapv:ManualMappingCuration	
ddi:fileDscr.fileTxt.dimensns.varQnty	varQnty	skos:closeMatch	cdifq:nColumns	nColumns	semapv:ManualMappingCuration	
ddi:fileDscr.fileTxt.tab-header	tab file column header	skos:narrowMatch	cdif:hasPhysicalMapping	hasPhysicalMapping	semapv:ManualMappingCuration	header -> cdi:index + cdi:formats_InstanceVariable link
