subject_id	subject_label	predicate_id	object_id	object_label	object_json_path	mapping_justification	comment
schema:name	name	skos:exactMatch	schema:name	name	$.schema:name	semapv:ManualMappingCuration	schema: prefix added
schema:description	description	skos:exactMatch	schema:description	description	$.schema:description	semapv:ManualMappingCuration	
schema:url	url	skos:exactMatch	schema:url	url	$.schema:url	semapv:ManualMappingCuration	also used to fill @id when absent
schema:identifier	identifier	skos:exactMatch	schema:identifier	identifier	$.schema:identifier	semapv:ManualMappingCuration	filled from @id when absent
schema:license	license	skos:exactMatch	schema:license	license	$.schema:license	semapv:ManualMappingCuration	wrapped in array
schema:creator	creator	skos:exactMatch	schema:creator	creator	$.schema:creator	semapv:ManualMappingCuration	wrapped in JSON-LD @list; Person names synthesized from given/family
schema:author	author	skos:closeMatch	schema:creator	creator	$.schema:creator	semapv:ManualMappingCuration	author folded into creator when creator absent
schema:keywords	keywords	skos:exactMatch	schema:keywords	keywords	$.schema:keywords	semapv:ManualMappingCuration	comma-delimited strings split into array
schema:datePublished	datePublished	skos:closeMatch	schema:dateModified	dateModified	$.schema:dateModified	semapv:ManualMappingCuration	used as dateModified fallback (CDIF requires dateModified)
schema:dateModified	dateModified	skos:exactMatch	schema:dateModified	dateModified	$.schema:dateModified	semapv:ManualMappingCuration	
schema:variableMeasured	variableMeasured	skos:exactMatch	schema:variableMeasured	variableMeasured	$.schema:variableMeasured[*]	semapv:ManualMappingCuration	
schema:spatialCoverage	spatialCoverage	skos:exactMatch	schema:spatialCoverage	spatialCoverage	$.schema:spatialCoverage	semapv:ManualMappingCuration	string coerced to schema:Place; lat/long to numbers
schema:temporalCoverage	temporalCoverage	skos:exactMatch	schema:temporalCoverage	temporalCoverage	$.schema:temporalCoverage	semapv:ManualMappingCuration	
schema:distribution	distribution	skos:exactMatch	schema:distribution	distribution	$.schema:distribution[*]	semapv:ManualMappingCuration	typed schema:DataDownload; url -> contentUrl
